Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.572,24.631,96.362,0.0026989,0.03,2
1.557,24.62,96.336,0.0028965,0.03,1.95
2.508,24.623,96.342,0.0028714,0.03,1.9
3.458,24.627,96.351,0.0028343,0.03,1.85
4.412,24.622,96.341,0.002788,0.03,1.8
5.375,24.619,96.335,0.0027343,0.03,1.75
6.351,24.621,96.339,0.0026782,0.03,1.7
7.308,24.63,96.358,0.0026175,0.03,1.65
8.272,24.62,96.336,0.0025571,0.03,1.6
9.22,24.615,96.325,0.0024952,0.03,1.55
10.178,24.613,96.319,0.0024349,0.03,1.5
11.126,24.625,96.347,0.0023729,0.03,1.45
12.089,24.622,96.341,0.0023094,0.03,1.4
13.052,24.627,96.353,0.002246,0.03,1.35
14.004,24.608,96.308,0.0021832,0.03,1.3
14.96,24.616,96.326,0.0021199,0.03,1.25
15.912,24.622,96.34,0.0020568,0.03,1.2
16.86,24.614,96.322,0.0019927,0.03,1.15
17.827,24.607,96.305,0.0019289,0.03,1.1
18.804,24.613,96.321,0.0018666,0.03,1.05
19.762,24.614,96.321,0.0018033,0.03,1
20.727,24.614,96.322,0.0017399,0.03,0.95
21.66,24.618,96.332,0.0016769,0.03,0.9
22.658,24.619,96.333,0.0016136,0.03,0.85
23.636,24.612,96.317,0.0015526,0.03,0.8
24.575,24.604,96.299,0.0014906,0.03,0.75
25.555,24.605,96.302,0.00143,0.03,0.7
26.503,24.619,96.333,0.0013687,0.03,0.65
27.452,24.611,96.315,0.0013079,0.03,0.6
28.434,24.61,96.313,0.0012485,0.03,0.55
29.394,24.611,96.315,0.0011888,0.03,0.5
30.338,24.602,96.295,0.0011296,0.03,0.45
31.322,24.62,96.336,0.0010712,0.03,0.4
32.297,24.611,96.314,0.0010143,0.03,0.35
33.251,24.618,96.332,0.0009567,0.03,0.3
34.199,24.607,96.307,0.00090116,0.03,0.25
35.182,24.605,96.301,0.00084654,0.03,0.2
36.136,24.613,96.32,0.00079162,0.03,0.15
37.085,24.622,96.34,0.0007368,0.03,0.1
38.07,24.62,96.337,0.00068205,0.03,0.05
39.044,24.603,96.297,0.00062701,0.03,0
