Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.575,24.522,96.108,4.9456e-05,0.4,0
1.585,24.515,96.093,4.9363e-05,0.4,0.1
2.548,24.507,96.072,4.9467e-05,0.4,0.2
3.497,24.524,96.112,4.9519e-05,0.4,0.3
4.48,24.527,96.119,4.9425e-05,0.4,0.4
5.462,24.527,96.12,4.9425e-05,0.4,0.5
6.413,24.507,96.074,4.9446e-05,0.4,0.6
7.389,24.516,96.093,4.9863e-05,0.4,0.7
8.341,24.525,96.116,4.9779e-05,0.4,0.8
9.319,24.526,96.116,4.9779e-05,0.4,0.9
10.269,24.519,96.101,4.979e-05,0.4,1
11.223,24.524,96.113,4.9915e-05,0.4,1.1
12.189,24.521,96.106,4.9654e-05,0.4,1.2
13.143,24.525,96.114,4.9581e-05,0.4,1.3
14.137,24.516,96.094,4.9592e-05,0.4,1.4
15.113,24.518,96.099,4.9717e-05,0.4,1.5
16.071,24.528,96.123,4.9727e-05,0.4,1.6
17.041,24.51,96.081,4.9331e-05,0.4,1.7
18.01,24.522,96.109,4.9373e-05,0.4,1.8
18.98,24.518,96.099,4.9915e-05,0.4,1.9
19.923,24.509,96.079,5.0082e-05,0.4,2
20.877,24.519,96.1,4.9706e-05,0.4,2.1
21.844,24.509,96.078,4.9623e-05,0.4,2.2
22.833,24.525,96.115,4.9863e-05,0.4,2.3
23.785,24.512,96.085,4.9821e-05,0.4,2.4
24.737,24.525,96.114,4.9811e-05,0.4,2.5
25.692,24.528,96.123,4.9957e-05,0.4,2.6
26.676,24.525,96.114,4.979e-05,0.4,2.7
27.635,24.527,96.119,4.9967e-05,0.4,2.8
28.589,24.51,96.081,4.9884e-05,0.4,2.9
29.547,24.521,96.106,4.979e-05,0.4,3
30.501,24.527,96.12,5.0603e-05,0.4,3.1
31.457,24.529,96.125,5.0582e-05,0.4,3.2
32.409,24.519,96.102,5.0207e-05,0.4,3.3
33.368,24.523,96.109,5.0321e-05,0.4,3.4
34.325,24.526,96.118,5.0342e-05,0.4,3.5
35.309,24.528,96.122,5.0582e-05,0.4,3.6
36.264,24.531,96.128,5.0686e-05,0.4,3.7
37.223,24.525,96.115,5.103e-05,0.4,3.8
38.204,24.529,96.125,5.0884e-05,0.4,3.9
39.209,24.528,96.123,5.1239e-05,0.4,4
40.177,24.523,96.11,5.1478e-05,0.4,4.1
41.127,24.519,96.101,5.153e-05,0.4,4.2
42.066,24.516,96.093,5.1541e-05,0.4,4.3
43.039,24.524,96.112,5.2083e-05,0.4,4.4
44.003,24.524,96.112,5.2218e-05,0.4,4.5
44.95,24.525,96.115,5.2573e-05,0.4,4.6
45.901,24.524,96.113,5.2792e-05,0.4,4.7
46.861,24.526,96.118,5.2541e-05,0.4,4.8
47.819,24.53,96.127,5.299e-05,0.4,4.9
48.771,24.523,96.111,5.3448e-05,0.4,5
49.722,24.526,96.117,5.3761e-05,0.4,5.1
50.67,24.518,96.098,5.3792e-05,0.4,5.2
51.64,24.53,96.126,5.398e-05,0.4,5.3
52.585,24.524,96.113,5.4584e-05,0.4,5.4
53.569,24.524,96.114,5.5001e-05,0.4,5.5
54.535,24.533,96.134,5.5085e-05,0.4,5.6
55.487,24.525,96.116,5.5293e-05,0.4,5.7
56.438,24.532,96.131,5.5647e-05,0.4,5.8
57.402,24.532,96.131,5.5825e-05,0.4,5.9
58.381,24.53,96.127,5.5991e-05,0.4,6
59.342,24.53,96.127,5.6658e-05,0.4,6.1
60.292,24.525,96.116,5.719e-05,0.4,6.2
