Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.324,55.629,170.76,0.0028042,0.2,1
1.715,55.522,170.5,0.0028069,0.2,1
2.695,55.451,170.32,0.0028117,0.2,1
3.662,55.372,170.13,0.0028026,0.2,1
4.652,55.32,170,0.0027913,0.2,1
5.664,55.23,169.78,0.0027864,0.2,1
6.647,55.17,169.64,0.0027846,0.2,1
7.625,55.091,169.44,0.0027661,0.2,1
8.575,55.042,169.33,0.0027541,0.2,1
9.543,54.964,169.14,0.0027516,0.2,1
10.51,54.903,168.99,0.0027492,0.2,1
11.474,54.836,168.82,0.0027486,0.2,1
12.442,54.762,168.64,0.0027491,0.2,1
13.44,54.695,168.48,0.0027402,0.2,1
14.399,54.633,168.33,0.0027349,0.2,1
15.379,54.564,168.16,0.0027317,0.2,1
16.353,54.499,168,0.0027304,0.2,1
17.292,54.433,167.84,0.0027267,0.2,1
18.254,54.367,167.68,0.0027224,0.2,1
19.218,54.302,167.52,0.00272,0.2,1
20.215,54.235,167.36,0.0027097,0.2,1
21.183,54.166,167.19,0.0026894,0.2,1
22.141,54.106,167.04,0.0026852,0.2,1
23.103,54.037,166.87,0.002685,0.2,1
24.068,53.966,166.69,0.0026847,0.2,1
25.037,53.909,166.55,0.0026875,0.2,1
26.039,53.84,166.38,0.0026881,0.2,1
27.025,53.778,166.22,0.0026911,0.2,1
28.024,53.711,166.06,0.0026933,0.2,1
28.994,53.628,165.85,0.0026949,0.2,1
29.963,53.579,165.73,0.0026975,0.2,1
30.947,53.515,165.58,0.0026959,0.2,1
31.916,53.435,165.38,0.0026965,0.2,1
32.883,53.388,165.27,0.002701,0.2,1
33.843,53.324,165.11,0.0027072,0.2,1
34.809,53.259,164.95,0.0027124,0.2,1
35.824,53.196,164.8,0.0027079,0.2,1
36.768,53.137,164.65,0.0027047,0.2,1
37.748,53.074,164.5,0.0026979,0.2,1
38.739,52.99,164.3,0.002693,0.2,1
39.737,52.935,164.16,0.0026905,0.2,1
40.688,52.879,164.03,0.0026901,0.2,1
41.652,52.818,163.88,0.0026902,0.2,1
42.631,52.758,163.73,0.0026902,0.2,1
43.622,52.677,163.53,0.0026905,0.2,1
44.589,52.634,163.43,0.0026906,0.2,1
45.546,52.565,163.26,0.0026904,0.2,1
46.509,52.512,163.13,0.00269,0.2,1
47.512,52.449,162.98,0.0026892,0.2,1
48.473,52.388,162.83,0.0026921,0.2,1
49.438,52.327,162.68,0.0026943,0.2,1
50.416,52.268,162.54,0.0026914,0.2,1
51.364,52.2,162.37,0.0026863,0.2,1
52.325,52.141,162.22,0.0026876,0.2,1
53.294,52.09,162.1,0.0026938,0.2,1
54.294,52.027,161.95,0.0027018,0.2,1
