Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.067,25.994,99.565,5.4074e-05,0.4,0
1.297,26.016,99.617,5.4355e-05,0.4,0.08
1.996,26.011,99.604,5.423e-05,0.4,0.16
2.736,26.015,99.615,5.4293e-05,0.4,0.24
3.431,26.017,99.619,5.4564e-05,0.4,0.32
4.173,26.03,99.651,5.4564e-05,0.4,0.4
4.897,26.029,99.648,5.3928e-05,0.4,0.48
5.611,26.032,99.656,5.4511e-05,0.4,0.56
6.313,26.027,99.643,5.4126e-05,0.4,0.64
7.086,26.038,99.669,5.447e-05,0.4,0.72
7.8,26.037,99.666,5.3917e-05,0.4,0.8
8.528,26.048,99.692,5.4501e-05,0.4,0.88
9.261,26.046,99.689,5.4459e-05,0.4,0.96
9.993,26.041,99.675,5.4345e-05,0.4,1.04
10.716,26.05,99.698,5.4022e-05,0.4,1.12
11.41,26.047,99.692,5.4418e-05,0.4,1.2
12.147,26.051,99.699,5.4199e-05,0.4,1.28
12.859,26.059,99.72,5.4438e-05,0.4,1.36
13.595,26.062,99.725,5.4845e-05,0.4,1.44
14.302,26.063,99.727,5.4918e-05,0.4,1.52
14.992,26.062,99.726,5.473e-05,0.4,1.6
15.725,26.064,99.73,5.4845e-05,0.4,1.68
16.451,26.072,99.749,5.5074e-05,0.4,1.76
17.175,26.075,99.756,5.6054e-05,0.4,1.84
17.893,26.079,99.767,5.6575e-05,0.4,1.92
18.615,26.084,99.778,5.646e-05,0.4,2
19.353,26.083,99.777,5.7617e-05,0.4,2.08
20.062,26.08,99.77,5.817e-05,0.4,2.16
20.785,26.08,99.77,5.8451e-05,0.4,2.24
21.477,26.084,99.779,5.9045e-05,0.4,2.32
22.202,26.085,99.781,5.9712e-05,0.4,2.4
22.923,26.093,99.8,6.0786e-05,0.4,2.48
23.656,26.095,99.805,6.1787e-05,0.4,2.56
24.368,26.102,99.822,6.2704e-05,0.4,2.64
25.06,26.105,99.829,6.3308e-05,0.4,2.72
25.792,26.1,99.817,6.4246e-05,0.4,2.8
26.506,26.113,99.848,6.5216e-05,0.4,2.88
27.232,26.108,99.835,6.6352e-05,0.4,2.96
27.916,26.105,99.828,6.6946e-05,0.4,3.04
28.648,26.113,99.848,6.778e-05,0.4,3.12
29.405,26.124,99.873,6.9479e-05,0.4,3.2
30.115,26.116,99.855,7.0354e-05,0.4,3.28
30.825,26.118,99.859,7.1459e-05,0.4,3.36
31.542,26.134,99.897,7.2272e-05,0.4,3.44
32.264,26.125,99.877,7.3721e-05,0.4,3.52
32.976,26.135,99.9,7.4794e-05,0.4,3.6
33.715,26.138,99.906,7.6295e-05,0.4,3.68
34.425,26.135,99.9,7.7014e-05,0.4,3.76
35.151,26.144,99.921,7.8348e-05,0.4,3.84
35.844,26.141,99.913,7.9276e-05,0.4,3.92
36.571,26.15,99.936,8.0308e-05,0.4,4
37.291,26.155,99.948,8.1996e-05,0.4,4.08
38.009,26.154,99.945,8.3237e-05,0.4,4.16
38.735,26.164,99.968,8.3956e-05,0.4,4.24
39.474,26.165,99.971,8.5436e-05,0.4,4.32
40.188,26.167,99.975,8.6551e-05,0.4,4.4
40.904,26.163,99.967,8.799e-05,0.4,4.48
41.629,26.17,99.984,8.9167e-05,0.4,4.56
42.32,26.164,99.97,9.0762e-05,0.4,4.64
43.038,26.173,99.989,9.17e-05,0.4,4.72
43.762,26.178,100,9.2836e-05,0.4,4.8
44.479,26.175,99.995,9.4274e-05,0.4,4.88
45.17,26.181,100.01,9.5692e-05,0.4,4.96
45.892,26.185,100.02,9.6651e-05,0.4,5.04
46.625,26.2,100.05,9.8079e-05,0.4,5.12
47.356,26.19,100.03,9.9475e-05,0.4,5.2
48.067,26.192,100.04,0.00010051,0.4,5.28
48.787,26.195,100.04,0.00010208,0.4,5.36
49.512,26.195,100.04,0.00010313,0.4,5.44
50.243,26.202,100.06,0.00010453,0.4,5.52
50.958,26.209,100.08,0.00010596,0.4,5.6
51.65,26.203,100.06,0.0001077,0.4,5.68
52.37,26.211,100.08,0.00010809,0.4,5.76
53.064,26.215,100.09,0.00011009,0.4,5.84
53.79,26.223,100.11,0.00011118,0.4,5.92
54.51,26.227,100.12,0.00011271,0.4,6
55.242,26.224,100.11,0.00011405,0.4,6.08
55.964,26.223,100.11,0.00011423,0.4,6.16
56.678,26.228,100.12,0.00011406,0.4,6.24
57.398,26.233,100.13,0.00011448,0.4,6.32
58.133,26.242,100.16,0.00011394,0.4,6.4
