Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.31,41.868,137.31,0.00073074,0.2,1
1.575,41.872,137.32,0.0007307,0.2,1
2.582,41.868,137.31,0.00073054,0.2,1
3.57,41.874,137.33,0.00073043,0.2,1
4.552,41.878,137.34,0.0007302,0.2,1
5.559,41.875,137.33,0.00073062,0.2,1
6.547,41.88,137.34,0.00073057,0.2,1
7.538,41.882,137.34,0.00073022,0.2,1
8.536,41.883,137.35,0.00073027,0.2,1
9.516,41.885,137.35,0.00073024,0.2,1
10.517,41.89,137.36,0.00072976,0.2,1
11.512,41.901,137.39,0.00073025,0.2,1
12.503,41.893,137.37,0.00072994,0.2,1
13.489,41.905,137.4,0.00073011,0.2,1
14.483,41.903,137.4,0.00073019,0.2,1
15.475,41.903,137.4,0.00073014,0.2,1
16.473,41.909,137.41,0.00072992,0.2,1
17.461,41.907,137.4,0.00072989,0.2,1
18.453,41.912,137.42,0.00073012,0.2,1
19.441,41.915,137.42,0.00073009,0.2,1
20.436,41.915,137.42,0.00072994,0.2,1
21.437,41.918,137.43,0.00072991,0.2,1
22.42,41.922,137.44,0.00072988,0.2,1
23.423,41.93,137.46,0.0007297,0.2,1
24.408,41.938,137.48,0.00072995,0.2,1
25.366,41.938,137.48,0.00072968,0.2,1
26.325,41.939,137.48,0.0007296,0.2,1
27.291,41.937,137.48,0.00072967,0.2,1
28.277,41.934,137.47,0.00072961,0.2,1
29.229,41.944,137.49,0.00072971,0.2,1
30.193,41.944,137.49,0.00072952,0.2,1
31.189,41.947,137.5,0.00072954,0.2,1
32.188,41.957,137.52,0.00072937,0.2,1
33.171,41.951,137.51,0.00072944,0.2,1
34.167,41.963,137.54,0.00072947,0.2,1
35.154,41.957,137.52,0.00072956,0.2,1
36.167,41.971,137.56,0.00072941,0.2,1
37.149,41.963,137.54,0.00072922,0.2,1
38.145,41.97,137.56,0.00072923,0.2,1
39.127,41.978,137.57,0.00072928,0.2,1
40.128,41.973,137.56,0.00072932,0.2,1
41.12,41.977,137.57,0.00072893,0.2,1
42.112,41.977,137.57,0.00072916,0.2,1
43.091,41.978,137.57,0.00072948,0.2,1
44.096,41.976,137.57,0.00072919,0.2,1
45.074,41.98,137.58,0.00072909,0.2,1
46.072,41.986,137.59,0.00072891,0.2,1
47.068,41.989,137.6,0.00072903,0.2,1
48.067,41.991,137.6,0.00072916,0.2,1
49.061,42,137.63,0.00072907,0.2,1
50.044,42.008,137.64,0.00072926,0.2,1
51.033,41.996,137.62,0.00072892,0.2,1
52.03,42.001,137.63,0.00072869,0.2,1
53.018,42.01,137.65,0.00072889,0.2,1
54.021,42.014,137.66,0.00072877,0.2,1
55.008,42.01,137.65,0.00072877,0.2,1
55.997,42.016,137.67,0.00072856,0.2,1
57.004,42.016,137.66,0.00072866,0.2,1
57.991,42.012,137.66,0.00072862,0.2,1
58.942,42.027,137.69,0.00072849,0.2,1
59.897,42.026,137.69,0.00072872,0.2,1
60.855,42.029,137.69,0.00072874,0.2,1
61.826,42.024,137.68,0.00072852,0.2,1
62.808,42.024,137.68,0.00072866,0.2,1
63.772,42.03,137.7,0.00072858,0.2,1
64.77,42.029,137.7,0.00072869,0.2,1
65.762,42.036,137.71,0.0007285,0.2,1
66.746,42.038,137.72,0.00072839,0.2,1
67.746,42.039,137.72,0.00072851,0.2,1
68.745,42.043,137.73,0.0007284,0.2,1
69.733,42.049,137.74,0.00072858,0.2,1
70.717,42.054,137.75,0.00072833,0.2,1
71.72,42.058,137.76,0.0007284,0.2,1
72.711,42.053,137.75,0.00072853,0.2,1
73.702,42.056,137.76,0.00072833,0.2,1
74.684,42.058,137.76,0.00072811,0.2,1
75.655,42.066,137.78,0.00072831,0.2,1
76.637,42.07,137.79,0.00072943,0.2,1
77.632,42.067,137.78,0.0007325,0.2,1
78.59,42.061,137.77,0.00073821,0.2,1
79.554,42.07,137.79,0.00073982,0.2,1
80.512,42.045,137.73,0.00075281,0.2,1
81.472,42.005,137.64,0.00076051,0.2,1
82.469,41.928,137.45,0.00076088,0.2,1
83.453,41.84,137.25,0.00076071,0.2,1
84.447,41.724,136.97,0.00076102,0.2,1
85.449,41.6,136.66,0.00076079,0.2,1
86.432,41.486,136.38,0.00076069,0.2,1
87.429,41.356,136.07,0.00076095,0.2,1
88.416,41.241,135.79,0.00076117,0.2,1
89.416,41.119,135.5,0.00076171,0.2,1
90.4,40.988,135.19,0.00076181,0.2,1
91.405,40.865,134.89,0.00076173,0.2,1
92.392,40.761,134.64,0.00076161,0.2,1
93.38,40.643,134.35,0.00076175,0.2,1
94.381,40.53,134.08,0.00076146,0.2,1
95.365,40.433,133.85,0.00076156,0.2,1
96.365,40.33,133.6,0.00076141,0.2,1
97.351,40.231,133.37,0.00076117,0.2,1
98.352,40.127,133.12,0.00076138,0.2,1
99.35,40.039,132.91,0.00076165,0.2,1
100.34,39.943,132.68,0.00076168,0.2,1
101.33,39.851,132.46,0.0007616,0.2,1
102.34,39.753,132.23,0.00076168,0.2,1
103.32,39.666,132.02,0.00076138,0.2,1
104.31,39.596,131.85,0.00076136,0.2,1
105.3,39.508,131.63,0.00076104,0.2,1
106.29,39.419,131.41,0.00076091,0.2,1
107.29,39.337,131.22,0.00076062,0.2,1
108.28,39.257,131.02,0.00076005,0.2,1
109.27,39.179,130.84,0.00075984,0.2,1
110.27,39.101,130.65,0.00075933,0.2,1
111.25,39.024,130.47,0.00075893,0.2,1
112.25,38.95,130.29,0.00075893,0.2,1
113.25,38.877,130.12,0.00075858,0.2,1
114.24,38.809,129.96,0.00075776,0.2,1
115.2,38.733,129.78,0.00075724,0.2,1
116.15,38.656,129.59,0.00075679,0.2,1
117.11,38.589,129.43,0.00075635,0.2,1
118.08,38.521,129.27,0.00075603,0.2,1
119.09,38.442,129.08,0.00075549,0.2,1
120.06,38.386,128.95,0.00075462,0.2,1
121.05,38.307,128.76,0.00075408,0.2,1
122.04,38.247,128.62,0.00075353,0.2,1
123.04,38.182,128.46,0.00075304,0.2,1
124.03,38.104,128.28,0.00075233,0.2,1
125.02,38.046,128.14,0.00075168,0.2,1
126.01,37.973,127.96,0.0007509,0.2,1
127.02,37.913,127.82,0.00075053,0.2,1
128.01,37.843,127.64,0.00074957,0.2,1
128.99,37.777,127.48,0.00074891,0.2,1
129.98,37.725,127.36,0.00074816,0.2,1
130.98,37.66,127.2,0.00074757,0.2,1
131.97,37.588,127.03,0.00074679,0.2,1
132.97,37.53,126.89,0.0007464,0.2,1
133.95,37.476,126.76,0.00074535,0.2,1
134.95,37.41,126.6,0.00074452,0.2,1
135.94,37.359,126.48,0.00074424,0.2,1
136.93,37.288,126.31,0.00074336,0.2,1
137.95,37.23,126.17,0.00074263,0.2,1
138.93,37.177,126.05,0.00074206,0.2,1
139.92,37.126,125.93,0.00074145,0.2,1
140.91,37.063,125.78,0.00074042,0.2,1
141.87,37.008,125.65,0.0007397,0.2,1
142.82,36.961,125.53,0.0007389,0.2,1
143.79,36.902,125.39,0.00073803,0.2,1
144.77,36.848,125.26,0.00073736,0.2,1
145.74,36.803,125.16,0.00073675,0.2,1
146.73,36.742,125.01,0.0007358,0.2,1
147.72,36.697,124.91,0.00073489,0.2,1
148.72,36.643,124.78,0.00073393,0.2,1
149.71,36.587,124.64,0.00073316,0.2,1
150.7,36.542,124.53,0.00073224,0.2,1
151.69,36.481,124.39,0.00073122,0.2,1
152.69,36.436,124.28,0.00073061,0.2,1
153.67,36.383,124.16,0.0007294,0.2,1
154.67,36.337,124.05,0.00072874,0.2,1
155.67,36.293,123.94,0.00072773,0.2,1
156.66,36.251,123.84,0.00072677,0.2,1
157.65,36.191,123.7,0.00072575,0.2,1
158.64,36.15,123.6,0.00072507,0.2,1
159.64,36.103,123.49,0.00072401,0.2,1
160.63,36.05,123.37,0.00072316,0.2,1
161.62,36.008,123.26,0.00072201,0.2,1
162.65,35.957,123.14,0.00072071,0.2,1
163.63,35.913,123.04,0.00071986,0.2,1
164.6,35.867,122.93,0.00071863,0.2,1
165.58,35.832,122.84,0.00071759,0.2,1
166.58,35.776,122.71,0.00071649,0.2,1
167.58,35.734,122.61,0.00071536,0.2,1
168.56,35.7,122.53,0.00071443,0.2,1
169.56,35.649,122.41,0.00071349,0.2,1
170.56,35.607,122.31,0.00071235,0.2,1
171.54,35.567,122.22,0.00071097,0.2,1
172.54,35.52,122.1,0.00071018,0.2,1
173.54,35.481,122.01,0.00070876,0.2,1
174.52,35.437,121.9,0.00070799,0.2,1
175.52,35.395,121.8,0.00070638,0.2,1
176.51,35.367,121.74,0.00070542,0.2,1
177.5,35.316,121.62,0.00070443,0.2,1
178.49,35.284,121.54,0.00070331,0.2,1
179.49,35.236,121.43,0.00070198,0.2,1
180.48,35.207,121.36,0.0007006,0.2,1
181.49,35.158,121.24,0.00069955,0.2,1
182.44,35.132,121.18,0.00069825,0.2,1
183.4,35.087,121.07,0.00069707,0.2,1
184.35,35.044,120.97,0.00069576,0.2,1
185.32,35.015,120.9,0.00069417,0.2,1
186.31,34.968,120.79,0.00069287,0.2,1
187.3,34.944,120.73,0.00069136,0.2,1
188.3,34.901,120.63,0.00069014,0.2,1
189.28,34.862,120.54,0.00068858,0.2,1
190.28,34.828,120.45,0.0006873,0.2,1
191.27,34.782,120.34,0.00068589,0.2,1
192.27,34.748,120.27,0.00068447,0.2,1
193.25,34.709,120.17,0.00068309,0.2,1
194.25,34.676,120.09,0.00068121,0.2,1
195.25,34.64,120.01,0.0006799,0.2,1
196.23,34.603,119.92,0.00067835,0.2,1
197.24,34.579,119.86,0.00067674,0.2,1
198.22,34.537,119.76,0.00067516,0.2,1
199.21,34.506,119.69,0.00067347,0.2,1
200.2,34.477,119.62,0.00067152,0.2,1
201.2,34.444,119.54,0.0006699,0.2,1
202.19,34.404,119.45,0.00066822,0.2,1
203.18,34.366,119.35,0.00066608,0.2,1
204.18,34.333,119.28,0.00066458,0.2,1
205.16,34.298,119.19,0.00066229,0.2,1
206.16,34.266,119.12,0.00066042,0.2,1
207.11,34.242,119.06,0.00065859,0.2,1
208.07,34.21,118.98,0.00065661,0.2,1
209.04,34.171,118.89,0.00065451,0.2,1
210.04,34.137,118.81,0.0006524,0.2,1
211.03,34.102,118.73,0.00065005,0.2,1
212.01,34.08,118.67,0.00064821,0.2,1
212.97,34.051,118.6,0.00064582,0.2,1
213.96,34.013,118.51,0.00064357,0.2,1
214.96,33.981,118.44,0.00064124,0.2,1
215.96,33.949,118.36,0.00063875,0.2,1
216.94,33.92,118.29,0.00063641,0.2,1
217.94,33.887,118.21,0.00063382,0.2,1
218.94,33.865,118.16,0.00063095,0.2,1
219.92,33.826,118.07,0.00062855,0.2,1
220.92,33.797,118,0.00062567,0.2,1
221.91,33.77,117.94,0.00062298,0.2,1
222.91,33.735,117.85,0.00061988,0.2,1
223.9,33.716,117.81,0.00061699,0.2,1
224.89,33.674,117.71,0.00061392,0.2,1
225.88,33.658,117.67,0.00061106,0.2,1
