Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.313,27.585,103.3,3.7324e-05,0.2,1
1.598,27.573,103.27,3.6647e-05,0.2,1
2.581,27.57,103.27,3.698e-05,0.2,1
3.577,27.576,103.28,3.6313e-05,0.2,1
4.542,27.564,103.25,3.7157e-05,0.2,1
5.511,27.558,103.24,3.672e-05,0.2,1
6.51,27.558,103.24,3.7199e-05,0.2,1
7.495,27.555,103.23,3.6813e-05,0.2,1
8.438,27.558,103.24,3.7157e-05,0.2,1
9.389,27.549,103.22,3.6459e-05,0.2,1
10.329,27.552,103.23,3.7137e-05,0.2,1
11.289,27.551,103.22,3.6563e-05,0.2,1
12.251,27.551,103.22,3.7303e-05,0.2,1
13.183,27.544,103.21,3.7064e-05,0.2,1
14.146,27.543,103.2,3.7084e-05,0.2,1
15.112,27.542,103.2,3.7189e-05,0.2,1
16.08,27.532,103.18,3.6793e-05,0.2,1
17.035,27.538,103.19,3.6886e-05,0.2,1
18.003,27.526,103.16,3.6897e-05,0.2,1
19.002,27.523,103.16,3.7272e-05,0.2,1
19.965,27.519,103.15,3.6959e-05,0.2,1
20.927,27.517,103.14,3.7137e-05,0.2,1
21.892,27.514,103.14,3.697e-05,0.2,1
22.902,27.519,103.15,3.7428e-05,0.2,1
23.854,27.506,103.12,3.7168e-05,0.2,1
24.819,27.512,103.13,3.7366e-05,0.2,1
25.781,27.51,103.13,3.6928e-05,0.2,1
26.746,27.512,103.13,3.7199e-05,0.2,1
27.717,27.495,103.09,3.7262e-05,0.2,1
28.671,27.495,103.09,3.722e-05,0.2,1
29.607,27.5,103.1,3.7335e-05,0.2,1
30.575,27.489,103.08,3.7282e-05,0.2,1
31.575,27.487,103.07,3.7262e-05,0.2,1
32.564,27.487,103.07,3.7157e-05,0.2,1
33.569,27.489,103.08,3.7543e-05,0.2,1
34.532,27.487,103.07,3.7282e-05,0.2,1
35.501,27.477,103.05,3.7699e-05,0.2,1
36.496,27.483,103.06,3.7637e-05,0.2,1
37.479,27.475,103.04,3.7282e-05,0.2,1
38.421,27.47,103.03,3.7345e-05,0.2,1
39.39,27.464,103.02,3.7439e-05,0.2,1
40.374,27.47,103.03,3.7439e-05,0.2,1
41.343,27.458,103,3.747e-05,0.2,1
42.304,27.46,103.01,3.7345e-05,0.2,1
43.275,27.462,103.01,3.7501e-05,0.2,1
44.259,27.46,103.01,3.771e-05,0.2,1
45.193,27.456,103,3.748e-05,0.2,1
46.163,27.447,102.98,3.7491e-05,0.2,1
47.132,27.448,102.98,3.772e-05,0.2,1
48.087,27.441,102.96,3.7699e-05,0.2,1
49.056,27.448,102.98,3.7585e-05,0.2,1
50.011,27.436,102.95,3.772e-05,0.2,1
50.955,27.44,102.96,3.7626e-05,0.2,1
51.923,27.433,102.94,3.7585e-05,0.2,1
52.907,27.429,102.93,3.771e-05,0.2,1
53.832,27.431,102.94,3.7845e-05,0.2,1
54.826,27.423,102.92,3.7335e-05,0.2,1
55.794,27.428,102.93,3.7533e-05,0.2,1
56.765,27.419,102.91,3.7751e-05,0.2,1
57.731,27.421,102.91,3.7845e-05,0.2,1
58.689,27.411,102.89,3.7658e-05,0.2,1
59.682,27.412,102.89,3.771e-05,0.2,1
60.639,27.412,102.89,3.7512e-05,0.2,1
61.587,27.404,102.87,3.7804e-05,0.2,1
62.548,27.407,102.88,3.7762e-05,0.2,1
63.551,27.408,102.88,3.771e-05,0.2,1
64.506,27.397,102.86,3.7751e-05,0.2,1
65.483,27.395,102.85,3.7731e-05,0.2,1
66.467,27.398,102.86,3.7606e-05,0.2,1
67.433,27.398,102.86,3.795e-05,0.2,1
68.398,27.388,102.84,3.7689e-05,0.2,1
69.367,27.392,102.84,3.7689e-05,0.2,1
70.366,27.389,102.84,3.8043e-05,0.2,1
71.356,27.38,102.82,3.7991e-05,0.2,1
72.365,27.383,102.82,3.7741e-05,0.2,1
73.315,27.374,102.8,3.7783e-05,0.2,1
74.288,27.382,102.82,3.771e-05,0.2,1
75.279,27.374,102.8,3.7783e-05,0.2,1
76.281,27.374,102.8,3.7699e-05,0.2,1
77.247,27.364,102.78,3.8106e-05,0.2,1
78.213,27.36,102.77,3.7783e-05,0.2,1
