Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.307,39.526,131.68,0.00035936,0.2,0
1.618,39.54,131.71,0.00035968,0.2,0
2.591,39.533,131.69,0.00035944,0.2,0
3.565,39.541,131.71,0.00035945,0.2,0
4.556,39.555,131.75,0.00035972,0.2,0
5.544,39.551,131.74,0.00035937,0.2,0
6.53,39.554,131.75,0.00035956,0.2,0
7.512,39.566,131.78,0.00035949,0.2,0
8.466,39.564,131.77,0.00035939,0.2,0
9.412,39.576,131.8,0.00035948,0.2,0
10.408,39.569,131.78,0.00035958,0.2,0
11.378,39.586,131.82,0.00035933,0.2,0
12.372,39.59,131.83,0.00035932,0.2,0
13.364,39.586,131.82,0.00035909,0.2,0
14.338,39.593,131.84,0.00035937,0.2,0
15.292,39.604,131.87,0.0003595,0.2,0
16.241,39.601,131.86,0.00035954,0.2,0
17.216,39.61,131.88,0.00035924,0.2,0
