Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.553,24.684,96.486,6.1985e-05,0.03,0
2.31,24.683,96.482,7.3335e-05,0.03,0
3.465,24.678,96.47,7.6848e-05,0.03,0.001
5.213,24.686,96.49,8.0766e-05,0.03,0.001
6.372,24.685,96.487,8.1496e-05,0.03,0.002
8.083,24.679,96.473,8.406e-05,0.03,0.002
9.216,24.684,96.485,8.3674e-05,0.03,0.003
10.961,24.686,96.489,8.6186e-05,0.03,0.003
12.118,24.685,96.488,8.5488e-05,0.03,0.004
13.866,24.677,96.469,8.8198e-05,0.03,0.004
15.032,24.673,96.46,8.6457e-05,0.03,0.005
16.786,24.676,96.465,8.947e-05,0.03,0.005
17.917,24.678,96.471,8.7166e-05,0.03,0.006
19.64,24.679,96.474,9.072e-05,0.03,0.006
20.779,24.679,96.472,8.7833e-05,0.03,0.007
22.504,24.681,96.478,9.1554e-05,0.03,0.007
23.68,24.678,96.47,8.8156e-05,0.03,0.008
25.41,24.671,96.455,9.2242e-05,0.03,0.008
26.569,24.676,96.466,8.8917e-05,0.03,0.009
28.29,24.67,96.453,9.3024e-05,0.03,0.009
29.453,24.672,96.457,8.8896e-05,0.03,0.01
31.186,24.68,96.475,9.3441e-05,0.03,0.01
32.348,24.678,96.47,8.9094e-05,0.03,0.011
34.084,24.677,96.469,9.4295e-05,0.03,0.011
35.241,24.675,96.464,8.9251e-05,0.03,0.012
36.988,24.675,96.464,9.4608e-05,0.03,0.012
38.121,24.673,96.459,8.9136e-05,0.03,0.013
39.878,24.665,96.441,9.5421e-05,0.03,0.013
41.046,24.677,96.469,8.923e-05,0.03,0.014
42.765,24.674,96.462,9.5838e-05,0.03,0.014
43.898,24.665,96.44,8.9261e-05,0.03,0.015
45.642,24.672,96.458,9.6338e-05,0.03,0.015
46.8,24.671,96.455,8.9178e-05,0.03,0.016
48.536,24.665,96.44,9.6453e-05,0.03,0.016
49.677,24.665,96.441,8.9053e-05,0.03,0.017
51.434,24.666,96.443,9.6932e-05,0.03,0.017
52.569,24.665,96.441,8.8855e-05,0.03,0.018
54.321,24.671,96.454,9.7318e-05,0.03,0.018
55.466,24.673,96.458,8.899e-05,0.03,0.019
57.208,24.666,96.443,9.7599e-05,0.03,0.019
58.361,24.668,96.449,8.8896e-05,0.03,0.02
60.104,24.667,96.445,9.7943e-05,0.03,0.02
61.244,24.668,96.449,8.8667e-05,0.03,0.021
62.997,24.659,96.426,9.835e-05,0.03,0.021
64.184,24.666,96.443,8.8438e-05,0.03,0.022
65.926,24.667,96.445,9.8392e-05,0.03,0.022
67.063,24.665,96.44,8.8292e-05,0.03,0.023
68.82,24.665,96.44,9.8756e-05,0.03,0.023
69.961,24.665,96.44,8.8261e-05,0.03,0.024
71.685,24.665,96.44,9.8621e-05,0.03,0.024
72.841,24.662,96.433,8.7719e-05,0.03,0.025
74.574,24.657,96.422,9.9111e-05,0.03,0.025
75.745,24.662,96.434,8.7614e-05,0.03,0.026
77.484,24.661,96.432,9.9517e-05,0.03,0.026
78.624,24.659,96.428,8.7541e-05,0.03,0.027
80.383,24.658,96.424,9.983e-05,0.03,0.027
81.554,24.653,96.412,8.7239e-05,0.03,0.028
83.289,24.66,96.428,9.9851e-05,0.03,0.028
84.442,24.652,96.41,8.6853e-05,0.03,0.029
86.187,24.659,96.426,9.9861e-05,0.03,0.029
87.332,24.663,96.436,8.6624e-05,0.03,0.03
89.083,24.652,96.41,0.00010003,0.03,0.03
90.225,24.656,96.42,8.628e-05,0.03,0.031
91.967,24.659,96.426,0.00010061,0.03,0.031
93.107,24.658,96.424,8.6093e-05,0.03,0.032
94.837,24.651,96.408,0.00010053,0.03,0.032
95.996,24.651,96.409,8.5571e-05,0.03,0.033
97.741,24.656,96.42,0.00010049,0.03,0.033
98.9,24.652,96.412,8.5478e-05,0.03,0.034
100.64,24.655,96.418,0.00010092,0.03,0.034
101.77,24.645,96.394,8.5353e-05,0.03,0.035
103.51,24.647,96.4,0.00010116,0.03,0.035
104.64,24.654,96.416,8.4852e-05,0.03,0.036
106.38,24.65,96.406,0.00010098,0.03,0.036
107.54,24.651,96.408,8.4362e-05,0.03,0.037
109.27,24.644,96.391,0.00010111,0.03,0.037
110.42,24.65,96.405,8.3956e-05,0.03,0.038
112.18,24.651,96.409,0.00010146,0.03,0.038
113.35,24.644,96.391,8.382e-05,0.03,0.039
115.08,24.645,96.394,0.00010139,0.03,0.039
116.24,24.645,96.394,8.3476e-05,0.03,0.04
117.99,24.649,96.402,0.00010148,0.03,0.04
119.13,24.648,96.401,8.3237e-05,0.03,0.041
120.85,24.644,96.391,0.0001018,0.03,0.041
121.99,24.65,96.407,8.2809e-05,0.03,0.042
123.72,24.649,96.404,0.00010189,0.03,0.042
124.88,24.643,96.389,8.2278e-05,0.03,0.043
126.61,24.644,96.392,0.00010205,0.03,0.043
127.76,24.643,96.389,8.2174e-05,0.03,0.044
129.51,24.647,96.399,0.00010216,0.03,0.044
130.65,24.636,96.374,8.1684e-05,0.03,0.045
132.41,24.64,96.382,0.00010201,0.03,0.045
133.55,24.637,96.375,8.1507e-05,0.03,0.046
135.28,24.645,96.393,0.00010257,0.03,0.046
136.45,24.639,96.381,8.0985e-05,0.03,0.047
138.18,24.637,96.375,0.00010228,0.03,0.047
139.33,24.639,96.38,8.0829e-05,0.03,0.048
141.09,24.637,96.376,0.00010229,0.03,0.048
142.26,24.642,96.386,8.0443e-05,0.03,0.049
143.99,24.638,96.377,0.00010287,0.03,0.049
145.15,24.641,96.385,7.9797e-05,0.03,0.05
146.9,24.645,96.394,0.00010257,0.03,0.05
148.06,24.64,96.383,7.9735e-05,0.03,0.051
149.81,24.646,96.396,0.00010291,0.03,0.051
150.96,24.643,96.39,7.9109e-05,0.03,0.052
152.7,24.634,96.369,0.0001031,0.03,0.052
153.85,24.636,96.373,7.8849e-05,0.03,0.053
155.58,24.634,96.368,0.00010275,0.03,0.053
156.74,24.631,96.363,7.8338e-05,0.03,0.054
158.46,24.641,96.386,0.00010321,0.03,0.054
159.63,24.632,96.363,7.8223e-05,0.03,0.055
161.35,24.634,96.37,0.00010332,0.03,0.055
162.51,24.632,96.365,7.7369e-05,0.03,0.056
164.25,24.637,96.376,0.00010337,0.03,0.056
165.41,24.632,96.365,7.7171e-05,0.03,0.057
167.16,24.635,96.37,0.00010341,0.03,0.057
168.3,24.634,96.368,7.69e-05,0.03,0.058
170.01,24.63,96.359,0.00010367,0.03,0.058
171.15,24.632,96.365,7.6431e-05,0.03,0.059
172.88,24.639,96.38,0.00010321,0.03,0.059
174.04,24.637,96.377,7.5941e-05,0.03,0.06
175.8,24.637,96.377,0.00010362,0.03,0.06
176.93,24.64,96.382,7.5461e-05,0.03,0.061
178.68,24.637,96.374,0.00010382,0.03,0.061
179.82,24.629,96.358,7.5367e-05,0.03,0.062
181.55,24.627,96.352,0.00010362,0.03,0.062
182.71,24.63,96.359,7.4596e-05,0.03,0.063
184.45,24.63,96.359,0.00010396,0.03,0.063
