CoilCurr(A),H
0.001,37.9
0.022,39.9
0.044,42
0.065,44.1
0.086,46.1
0.108,48.2
0.129,50.3
0.15,52.6
0.171,54.6
0.193,56.8
0.214,58.9
0.236,60.9
0.257,63
0.278,65.2
0.299,67.3
0.321,69.3
0.342,71.5
0.363,73.6
0.384,75.6
0.405,77.8
0.427,79.9
0.448,82
0.469,84.1
0.491,86.1
0.512,88.2
0.533,90.4
0.554,92.6
0.576,94.6
0.597,96.8
0.618,98.7
0.639,101.2
0.66,102.9
0.682,105.5
0.703,107.3
0.724,109.4
0.745,111.4
0.766,113.6
0.787,115.7
0.809,117.7
0.83,119.8
0.851,121.9
0.872,124.3
0.893,126.1
0.914,128.1
0.935,130.3
0.956,132.3
0.977,134.5
0.998,136.5
