Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.298,109.66,297.97,0.0043067,0.200000,0
1.575,109.66,297.96,0.0043069,0.2,0
2.557,109.66,297.98,0.0043074,0.2,0
3.549,109.65,297.95,0.0043071,0.2,0
4.543,109.65,297.95,0.0043071,0.2,0
5.527,109.65,297.95,0.004307,0.2,0
6.512,109.66,297.97,0.0043073,0.2,0
7.505,109.67,297.98,0.0043069,0.2,0
8.515,109.65,297.95,0.004307,0.2,0
10.299,109.65,297.95,0.0043067,0.2,0
11.286,109.65,297.94,0.0043068,0.2,0
12.265,109.65,297.95,0.004307,0.2,0
13.251,109.67,297.98,0.0043068,0.2,0
14.236,109.65,297.95,0.0043067,0.2,0
15.21,109.67,297.99,0.0043075,0.2,0
16.172,109.66,297.97,0.0043063,0.2,0
17.122,109.65,297.95,0.004307,0.2,0
18.089,109.67,297.98,0.004307,0.2,0
19.041,109.66,297.96,0.0043071,0.2,0
20.009,109.66,297.96,0.0043074,0.2,0
20.988,109.65,297.95,0.0043073,0.2,0
21.977,109.66,297.97,0.0043068,0.2,0
22.909,109.65,297.94,0.0043067,0.2,0
23.873,109.65,297.94,0.0043072,0.2,0
24.823,109.66,297.96,0.0043069,0.2,0
25.791,109.65,297.94,0.004307,0.2,0
26.773,109.66,297.97,0.0043073,0.2,0
27.738,109.67,297.99,0.0043065,0.2,0
28.734,109.66,297.97,0.0043074,0.2,0
29.713,109.66,297.98,0.0043073,0.2,0
30.677,109.65,297.95,0.0043074,0.2,0
31.676,109.65,297.95,0.0043073,0.2,0
32.661,109.65,297.93,0.0043071,0.2,0
33.653,109.66,297.98,0.0043075,0.2,0
34.609,109.66,297.98,0.0043074,0.2,0
35.574,109.65,297.95,0.0043073,0.2,0
36.531,109.65,297.95,0.0043069,0.2,0
37.485,109.66,297.97,0.0043073,0.2,0
38.444,109.66,297.97,0.0043065,0.2,0
39.449,109.65,297.94,0.004307,0.2,0
40.446,109.65,297.95,0.0043071,0.2,0
41.43,109.65,297.94,0.0043069,0.2,0
42.42,109.66,297.97,0.004307,0.2,0
43.412,109.65,297.94,0.0043071,0.2,0
44.394,109.66,297.96,0.0043065,0.2,0
45.395,109.66,297.97,0.0043068,0.2,0
46.39,109.66,297.96,0.0043067,0.2,0
47.38,109.65,297.94,0.0043063,0.2,0
48.365,109.65,297.94,0.0043066,0.2,0
49.358,109.65,297.94,0.004307,0.2,0
50.324,109.65,297.94,0.0043064,0.2,0
51.278,109.64,297.93,0.0043068,0.2,0
52.245,109.66,297.97,0.0043068,0.2,0
53.19,109.65,297.95,0.0043067,0.2,0
54.147,109.67,297.98,0.0043067,0.2,0
55.116,109.65,297.93,0.0043067,0.2,0
56.107,109.65,297.95,0.0043066,0.2,0
57.099,109.66,297.97,0.0043066,0.2,0
58.094,109.65,297.94,0.0043066,0.2,0
59.075,109.65,297.94,0.0043068,0.2,0
60.039,109.66,297.97,0.0043066,0.2,0
61.05,109.65,297.93,0.0043063,0.2,0
62.018,109.67,297.98,0.0043065,0.2,0
63.019,109.66,297.96,0.004307,0.2,0
64.008,109.65,297.95,0.0043068,0.2,0
64.992,109.66,297.97,0.0043059,0.2,0
65.996,109.65,297.95,0.0043065,0.2,0
66.979,109.65,297.93,0.0043064,0.2,0
67.979,109.65,297.93,0.0043059,0.2,0
68.963,109.66,297.95,0.004306,0.2,0
69.955,109.65,297.94,0.0043064,0.2,0
70.953,109.65,297.94,0.0043058,0.2,0
71.942,109.66,297.96,0.0043057,0.2,0
72.935,109.64,297.92,0.0043062,0.2,0
73.935,109.65,297.93,0.004306,0.2,0
74.918,109.66,297.96,0.004306,0.2,0
75.913,109.64,297.93,0.0043062,0.2,0
76.906,109.65,297.94,0.0043057,0.2,0
77.904,109.65,297.94,0.0043063,0.2,0
78.889,109.64,297.92,0.004306,0.2,0
79.879,109.66,297.97,0.0043056,0.2,0
80.873,109.66,297.96,0.0043059,0.2,0
81.865,109.64,297.92,0.0043063,0.2,0
82.851,109.66,297.96,0.0043063,0.2,0
83.81,109.66,297.96,0.0043066,0.2,0
84.808,109.65,297.95,0.0043062,0.2,0
85.805,109.65,297.95,0.0043062,0.2,0
86.8,109.64,297.92,0.0043061,0.2,0
87.795,109.65,297.94,0.0043064,0.2,0
88.773,109.65,297.93,0.0043063,0.2,0
89.768,109.66,297.98,0.0043067,0.2,0
90.758,109.64,297.92,0.0043063,0.2,0
91.77,109.65,297.94,0.0043059,0.2,0
92.755,109.64,297.93,0.0043061,0.2,0
93.742,109.66,297.97,0.0043062,0.2,0
94.737,109.66,297.96,0.0043059,0.2,0
95.728,109.65,297.94,0.0043058,0.2,0
96.721,109.67,297.98,0.004306,0.2,0
97.716,109.66,297.96,0.004306,0.2,0
98.699,109.67,297.98,0.0043063,0.2,0
99.697,109.66,297.97,0.0043062,0.2,0
100.69,109.65,297.93,0.0043058,0.2,0
101.68,109.65,297.93,0.0043061,0.2,0
102.68,109.66,297.98,0.0043059,0.2,0
103.66,109.65,297.94,0.0043055,0.2,0
104.66,109.66,297.97,0.0043054,0.2,0
105.66,109.65,297.93,0.0043057,0.2,0
106.63,109.66,297.96,0.0043057,0.2,0
107.56,109.64,297.92,0.0043057,0.2,0
108.53,109.66,297.96,0.0043058,0.2,0
109.48,109.65,297.94,0.0043057,0.2,0
110.44,109.65,297.94,0.004306,0.2,0
111.44,109.65,297.94,0.0043059,0.2,0
112.43,109.66,297.98,0.0043057,0.2,0
113.42,109.65,297.94,0.0043058,0.2,0
114.4,109.66,297.95,0.0043058,0.2,0
