Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.314,26.407,100.54,4.7049e-05,0.2,1
1.607,26.401,100.53,4.7017e-05,0.2,1
2.566,26.401,100.53,4.7455e-05,0.2,1
3.553,26.409,100.54,4.7247e-05,0.2,1
4.557,26.411,100.55,4.7195e-05,0.2,1
5.528,26.402,100.53,4.7142e-05,0.2,1
6.481,26.408,100.54,4.7007e-05,0.2,1
7.45,26.402,100.53,4.7184e-05,0.2,1
8.405,26.405,100.53,4.7226e-05,0.2,1
9.374,26.411,100.55,4.7101e-05,0.2,1
10.34,26.416,100.56,4.7111e-05,0.2,1
11.339,26.413,100.55,4.7205e-05,0.2,1
12.305,26.408,100.54,4.7195e-05,0.2,1
13.256,26.415,100.56,4.7038e-05,0.2,1
14.24,26.412,100.55,4.7142e-05,0.2,1
15.229,26.406,100.54,4.7361e-05,0.2,1
16.181,26.411,100.55,4.6986e-05,0.2,1
17.157,26.415,100.56,4.7174e-05,0.2,1
18.152,26.412,100.55,4.6976e-05,0.2,1
19.152,26.409,100.54,4.7111e-05,0.2,1
20.138,26.418,100.56,4.7101e-05,0.2,1
21.111,26.41,100.55,4.7205e-05,0.2,1
22.079,26.421,100.57,4.7017e-05,0.2,1
23.071,26.41,100.55,4.7268e-05,0.2,1
24.067,26.411,100.55,4.7247e-05,0.2,1
25.035,26.418,100.56,4.7413e-05,0.2,1
26.004,26.414,100.55,4.7257e-05,0.2,1
26.965,26.414,100.55,4.7403e-05,0.2,1
27.966,26.415,100.56,4.7257e-05,0.2,1
28.918,26.422,100.57,4.7163e-05,0.2,1
29.884,26.417,100.56,4.7226e-05,0.2,1
30.866,26.415,100.56,4.7101e-05,0.2,1
31.808,26.415,100.56,4.7101e-05,0.2,1
32.786,26.417,100.56,4.7069e-05,0.2,1
33.745,26.416,100.56,4.7226e-05,0.2,1
34.732,26.416,100.56,4.6892e-05,0.2,1
35.704,26.417,100.56,4.7163e-05,0.2,1
36.672,26.416,100.56,4.7007e-05,0.2,1
37.627,26.418,100.57,4.7153e-05,0.2,1
38.631,26.419,100.57,4.6892e-05,0.2,1
39.594,26.425,100.58,4.7059e-05,0.2,1
40.568,26.422,100.57,4.7278e-05,0.2,1
41.559,26.428,100.59,4.7205e-05,0.2,1
42.555,26.428,100.59,4.709e-05,0.2,1
43.517,26.429,100.59,4.7132e-05,0.2,1
44.491,26.424,100.58,4.7122e-05,0.2,1
45.453,26.43,100.59,4.733e-05,0.2,1
46.456,26.432,100.6,4.7226e-05,0.2,1
47.407,26.426,100.58,4.7195e-05,0.2,1
48.367,26.423,100.58,4.7413e-05,0.2,1
49.338,26.432,100.6,4.6934e-05,0.2,1
50.337,26.433,100.6,4.7257e-05,0.2,1
51.306,26.427,100.59,4.7111e-05,0.2,1
52.261,26.427,100.59,4.7236e-05,0.2,1
53.231,26.432,100.6,4.7278e-05,0.2,1
54.232,26.434,100.6,4.7351e-05,0.2,1
55.194,26.434,100.6,4.732e-05,0.2,1
56.153,26.434,100.6,4.6976e-05,0.2,1
57.112,26.434,100.6,4.7132e-05,0.2,1
58.111,26.435,100.6,4.7268e-05,0.2,1
59.075,26.436,100.61,4.7142e-05,0.2,1
60.051,26.437,100.61,4.7184e-05,0.2,1
61.037,26.442,100.62,4.7153e-05,0.2,1
61.966,26.433,100.6,4.7122e-05,0.2,1
62.938,26.445,100.63,4.7174e-05,0.2,1
63.907,26.435,100.6,4.7142e-05,0.2,1
64.894,26.442,100.62,4.7288e-05,0.2,1
65.866,26.436,100.6,4.7163e-05,0.2,1
66.831,26.433,100.6,4.7122e-05,0.2,1
67.821,26.445,100.63,4.7382e-05,0.2,1
68.747,26.437,100.61,4.7184e-05,0.2,1
69.709,26.437,100.61,4.732e-05,0.2,1
70.678,26.445,100.63,4.7518e-05,0.2,1
71.677,26.443,100.62,4.7205e-05,0.2,1
72.644,26.449,100.64,4.733e-05,0.2,1
73.61,26.439,100.61,4.7205e-05,0.2,1
74.561,26.445,100.63,4.7174e-05,0.2,1
75.501,26.445,100.63,4.7153e-05,0.2,1
76.456,26.44,100.61,4.7413e-05,0.2,1
77.426,26.45,100.64,4.7028e-05,0.2,1
78.387,26.449,100.64,4.7215e-05,0.2,1
79.351,26.452,100.64,4.7195e-05,0.2,1
80.315,26.444,100.62,4.7299e-05,0.2,1
81.314,26.447,100.63,4.734e-05,0.2,1
82.28,26.444,100.63,4.734e-05,0.2,1
83.241,26.445,100.63,4.7507e-05,0.2,1
84.211,26.453,100.65,4.7382e-05,0.2,1
85.173,26.455,100.65,4.733e-05,0.2,1
86.139,26.447,100.63,4.7142e-05,0.2,1
87.096,26.451,100.64,4.7476e-05,0.2,1
88.101,26.447,100.63,4.7288e-05,0.2,1
89.069,26.453,100.65,4.708e-05,0.2,1
90.03,26.455,100.65,4.7539e-05,0.2,1
90.994,26.455,100.65,4.7361e-05,0.2,1
91.96,26.449,100.64,4.7674e-05,0.2,1
92.916,26.458,100.66,4.7268e-05,0.2,1
93.88,26.451,100.64,4.7372e-05,0.2,1
94.88,26.451,100.64,4.7205e-05,0.2,1
95.84,26.453,100.65,4.7268e-05,0.2,1
96.817,26.459,100.66,4.7424e-05,0.2,1
97.811,26.459,100.66,4.7518e-05,0.2,1
98.811,26.462,100.67,4.7382e-05,0.2,1
99.807,26.459,100.66,4.6799e-05,0.2,1
100.76,26.452,100.64,4.7434e-05,0.2,1
101.72,26.453,100.64,4.7382e-05,0.2,1
102.69,26.466,100.67,4.7372e-05,0.2,1
103.66,26.455,100.65,4.7466e-05,0.2,1
104.62,26.455,100.65,4.732e-05,0.2,1
105.59,26.461,100.66,4.7372e-05,0.2,1
106.59,26.464,100.67,4.7278e-05,0.2,1
107.55,26.463,100.67,4.6955e-05,0.2,1
108.51,26.466,100.68,4.7549e-05,0.2,1
109.49,26.464,100.67,4.7518e-05,0.2,1
110.48,26.462,100.67,4.7393e-05,0.2,1
111.45,26.469,100.68,4.7518e-05,0.2,1
112.4,26.466,100.68,4.7445e-05,0.2,1
113.36,26.467,100.68,4.7247e-05,0.2,1
114.33,26.468,100.68,4.7611e-05,0.2,1
115.3,26.468,100.68,4.7111e-05,0.2,1
116.26,26.476,100.7,4.732e-05,0.2,1
117.26,26.477,100.7,4.7601e-05,0.2,1
118.22,26.471,100.69,4.7299e-05,0.2,1
119.19,26.475,100.7,4.7424e-05,0.2,1
120.15,26.475,100.7,4.7122e-05,0.2,1
121.11,26.479,100.71,4.7789e-05,0.2,1
122.08,26.489,100.73,4.7413e-05,0.2,1
123.04,26.494,100.74,4.7268e-05,0.2,1
124.05,26.491,100.73,4.7299e-05,0.2,1
125.01,26.495,100.74,4.7497e-05,0.2,1
125.98,26.505,100.77,4.7299e-05,0.2,1
126.97,26.507,100.77,4.7268e-05,0.2,1
127.96,26.517,100.79,4.7424e-05,0.2,1
128.96,26.521,100.8,4.7142e-05,0.2,1
129.93,26.517,100.8,4.7486e-05,0.2,1
130.9,26.527,100.82,4.7382e-05,0.2,1
131.89,26.527,100.82,4.7841e-05,0.2,1
132.89,26.529,100.82,4.7017e-05,0.2,1
133.89,26.539,100.85,4.7549e-05,0.2,1
134.85,26.538,100.84,4.7184e-05,0.2,1
135.81,26.547,100.86,4.7726e-05,0.2,1
136.78,26.562,100.9,4.7486e-05,0.2,1
137.74,26.566,100.91,4.7372e-05,0.2,1
138.71,26.569,100.92,4.7434e-05,0.2,1
139.7,26.58,100.94,4.7434e-05,0.2,1
140.71,26.575,100.93,4.7309e-05,0.2,1
141.69,26.584,100.95,4.7549e-05,0.2,1
142.67,26.587,100.96,4.7351e-05,0.2,1
143.63,26.592,100.97,4.7413e-05,0.2,1
144.62,26.6,100.99,4.733e-05,0.2,1
145.63,26.607,101,4.7486e-05,0.2,1
146.62,26.62,101.03,4.7174e-05,0.2,1
147.59,26.618,101.03,4.7455e-05,0.2,1
148.55,26.632,101.06,4.7455e-05,0.2,1
149.55,26.637,101.07,4.7549e-05,0.2,1
150.54,26.639,101.08,4.7476e-05,0.2,1
151.55,26.646,101.09,4.7549e-05,0.2,1
152.51,26.658,101.12,4.7539e-05,0.2,1
153.47,26.664,101.14,4.734e-05,0.2,1
154.47,26.674,101.16,4.7518e-05,0.2,1
155.46,26.675,101.16,4.7466e-05,0.2,1
156.43,26.687,101.19,4.7393e-05,0.2,1
157.4,26.689,101.19,4.7653e-05,0.2,1
158.4,26.694,101.21,4.7684e-05,0.2,1
159.4,26.703,101.23,4.7674e-05,0.2,1
160.4,26.717,101.26,4.7382e-05,0.2,1
161.38,26.716,101.26,4.7549e-05,0.2,1
162.35,26.726,101.28,4.7684e-05,0.2,1
163.34,26.729,101.29,4.7539e-05,0.2,1
164.32,26.748,101.33,4.7507e-05,0.2,1
165.32,26.744,101.32,4.7486e-05,0.2,1
166.27,26.758,101.36,4.7539e-05,0.2,1
167.25,26.757,101.35,4.7497e-05,0.2,1
168.23,26.769,101.38,4.7122e-05,0.2,1
169.18,26.781,101.41,4.7559e-05,0.2,1
170.13,26.79,101.43,4.7716e-05,0.2,1
171.09,26.795,101.44,4.7309e-05,0.2,1
172.1,26.796,101.44,4.7716e-05,0.2,1
173.05,26.811,101.48,4.758e-05,0.2,1
174.02,26.808,101.47,4.7445e-05,0.2,1
175.01,26.825,101.51,4.7601e-05,0.2,1
175.99,26.833,101.53,4.7601e-05,0.2,1
176.95,26.844,101.55,4.7684e-05,0.2,1
177.91,26.852,101.57,4.7611e-05,0.2,1
178.91,26.851,101.57,4.7684e-05,0.2,1
179.91,26.864,101.6,4.7486e-05,0.2,1
180.9,26.862,101.6,4.7799e-05,0.2,1
181.87,26.869,101.61,4.7882e-05,0.2,1
182.84,26.878,101.63,4.7539e-05,0.2,1
183.84,26.895,101.67,4.7497e-05,0.2,1
184.84,26.895,101.67,4.7935e-05,0.2,1
185.79,26.908,101.7,4.7382e-05,0.2,1
186.76,26.909,101.71,4.7695e-05,0.2,1
187.76,26.917,101.72,4.7643e-05,0.2,1
188.76,26.923,101.74,4.7549e-05,0.2,1
189.75,26.939,101.78,4.7622e-05,0.2,1
190.71,26.937,101.77,4.7528e-05,0.2,1
191.68,26.949,101.8,4.7528e-05,0.2,1
192.65,26.953,101.81,4.7455e-05,0.2,1
193.63,26.968,101.84,4.7632e-05,0.2,1
194.61,26.968,101.84,4.7851e-05,0.2,1
195.57,26.976,101.86,4.7653e-05,0.2,1
196.54,26.99,101.89,4.7737e-05,0.2,1
197.53,26.992,101.9,4.7747e-05,0.2,1
198.5,27.005,101.93,4.7716e-05,0.2,1
199.47,27.009,101.94,4.7591e-05,0.2,1
200.46,27.023,101.97,4.7726e-05,0.2,1
201.45,27.022,101.97,4.7622e-05,0.2,1
202.41,27.028,101.98,4.7559e-05,0.2,1
203.4,27.046,102.02,4.7789e-05,0.2,1
204.38,27.051,102.04,4.7549e-05,0.2,1
205.35,27.052,102.04,4.7434e-05,0.2,1
206.31,27.065,102.07,4.7632e-05,0.2,1
207.27,27.073,102.09,4.7528e-05,0.2,1
208.23,27.081,102.11,4.7622e-05,0.2,1
209.24,27.1,102.15,4.7664e-05,0.2,1
210.2,27.107,102.17,4.733e-05,0.2,1
211.17,27.11,102.17,4.7455e-05,0.2,1
212.16,27.126,102.21,4.733e-05,0.2,1
213.17,27.131,102.22,4.7632e-05,0.2,1
214.16,27.147,102.26,4.7184e-05,0.2,1
215.13,27.15,102.27,4.7674e-05,0.2,1
216.08,27.162,102.3,4.7351e-05,0.2,1
217.09,27.169,102.31,4.7476e-05,0.2,1
218.08,27.187,102.36,4.7726e-05,0.2,1
219.04,27.196,102.38,4.7622e-05,0.2,1
220,27.207,102.4,4.7413e-05,0.2,1
220.98,27.217,102.43,4.7622e-05,0.2,1
221.98,27.226,102.45,4.7684e-05,0.2,1
222.93,27.227,102.45,4.7737e-05,0.2,1
223.9,27.241,102.49,4.7413e-05,0.2,1
224.91,27.252,102.51,4.7601e-05,0.2,1
225.89,27.262,102.54,4.8008e-05,0.2,1
226.89,27.276,102.57,4.7507e-05,0.2,1
227.85,27.291,102.61,4.7393e-05,0.2,1
228.83,27.292,102.61,4.7653e-05,0.2,1
229.81,27.31,102.65,4.7518e-05,0.2,1
230.81,27.325,102.69,4.7799e-05,0.2,1
231.78,27.325,102.68,4.7747e-05,0.2,1
232.74,27.334,102.71,4.7882e-05,0.2,1
233.7,27.345,102.73,4.7789e-05,0.2,1
234.7,27.355,102.76,4.7684e-05,0.2,1
235.67,27.373,102.8,4.7799e-05,0.2,1
236.64,27.375,102.8,4.7611e-05,0.2,1
237.63,27.389,102.84,4.7434e-05,0.2,1
238.63,27.404,102.87,4.7684e-05,0.2,1
239.63,27.411,102.89,4.7872e-05,0.2,1
240.6,27.417,102.91,4.7674e-05,0.2,1
241.56,27.435,102.95,4.7935e-05,0.2,1
242.55,27.439,102.96,4.7789e-05,0.2,1
243.55,27.457,103,4.782e-05,0.2,1
244.55,27.46,103.01,4.7737e-05,0.2,1
245.51,27.478,103.05,4.7611e-05,0.2,1
246.48,27.484,103.06,4.7778e-05,0.2,1
247.48,27.498,103.1,4.7664e-05,0.2,1
248.47,27.508,103.12,4.7664e-05,0.2,1
249.47,27.517,103.14,4.7403e-05,0.2,1
250.44,27.518,103.14,4.7903e-05,0.2,1
251.41,27.536,103.19,4.7945e-05,0.2,1
252.39,27.538,103.19,4.7862e-05,0.2,1
253.41,27.561,103.24,4.783e-05,0.2,1
254.39,27.571,103.27,4.7549e-05,0.2,1
255.39,27.575,103.28,4.7737e-05,0.2,1
256.35,27.581,103.29,4.7862e-05,0.2,1
257.32,27.596,103.33,4.7778e-05,0.2,1
258.32,27.608,103.35,4.7737e-05,0.2,1
259.31,27.624,103.39,4.7674e-05,0.2,1
260.28,27.634,103.41,4.7757e-05,0.2,1
261.24,27.644,103.44,4.7966e-05,0.2,1
262.21,27.663,103.48,4.8049e-05,0.2,1
263.21,27.671,103.5,4.7559e-05,0.2,1
264.17,27.68,103.52,4.7737e-05,0.2,1
265.12,27.708,103.59,4.782e-05,0.2,1
266.1,27.717,103.61,4.7632e-05,0.2,1
267.1,27.724,103.62,4.757e-05,0.2,1
268.05,27.739,103.66,4.7893e-05,0.2,1
269.03,27.755,103.7,4.7789e-05,0.2,1
270.02,27.774,103.74,4.7789e-05,0.2,1
271.01,27.78,103.75,4.7674e-05,0.2,1
272.01,27.793,103.79,4.7622e-05,0.2,1
272.99,27.81,103.82,4.7601e-05,0.2,1
273.94,27.825,103.86,4.7966e-05,0.2,1
274.95,27.838,103.89,4.7726e-05,0.2,1
275.94,27.853,103.92,4.7862e-05,0.2,1
276.94,27.876,103.98,4.8081e-05,0.2,1
277.9,27.885,104,4.8008e-05,0.2,1
278.86,27.891,104.01,4.783e-05,0.2,1
279.82,27.902,104.04,4.7841e-05,0.2,1
280.79,27.925,104.09,4.8206e-05,0.2,1
281.75,27.936,104.12,4.7893e-05,0.2,1
282.71,27.952,104.16,4.781e-05,0.2,1
283.71,27.963,104.18,4.7997e-05,0.2,1
284.69,27.974,104.21,4.7976e-05,0.2,1
285.66,27.98,104.22,4.8039e-05,0.2,1
286.65,28.004,104.28,4.7997e-05,0.2,1
287.65,28.012,104.3,4.7935e-05,0.2,1
288.6,28.017,104.31,4.7966e-05,0.2,1
289.57,28.035,104.35,4.8112e-05,0.2,1
290.53,28.052,104.39,4.7893e-05,0.2,1
291.54,28.055,104.4,4.7789e-05,0.2,1
292.5,28.067,104.43,4.7955e-05,0.2,1
293.46,28.079,104.46,4.7987e-05,0.2,1
294.43,28.095,104.5,4.8028e-05,0.2,1
295.39,28.109,104.53,4.7851e-05,0.2,1
296.36,28.113,104.54,4.7799e-05,0.2,1
297.35,28.134,104.59,4.7987e-05,0.2,1
298.35,28.141,104.6,4.7945e-05,0.2,1
299.35,28.152,104.63,4.7768e-05,0.2,1
300.31,28.164,104.66,4.7903e-05,0.2,1
301.28,28.17,104.67,4.8018e-05,0.2,1
302.27,28.189,104.72,4.7945e-05,0.2,1
303.27,28.201,104.75,4.8153e-05,0.2,1
304.27,28.21,104.77,4.8018e-05,0.2,1
305.24,28.214,104.78,4.7997e-05,0.2,1
306.2,28.231,104.82,4.8143e-05,0.2,1
307.19,28.242,104.84,4.782e-05,0.2,1
308.2,28.247,104.86,4.8299e-05,0.2,1
309.19,28.266,104.9,4.8122e-05,0.2,1
