Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.328,30.052,109.11,0.00013189,0.2,1
1.61,30.048,109.1,0.00013169,0.2,1
2.603,30.055,109.11,0.00013153,0.2,1
3.595,30.047,109.1,0.00013108,0.2,1
4.585,30.051,109.11,0.00013101,0.2,1
5.584,30.047,109.1,0.0001308,0.2,1
6.582,30.042,109.09,0.00013045,0.2,1
7.572,30.034,109.07,0.00013026,0.2,1
8.558,30.037,109.07,0.00012993,0.2,1
9.554,30.027,109.05,0.00013025,0.2,1
10.539,30.031,109.06,0.00012993,0.2,1
11.525,30.032,109.06,0.00012947,0.2,1
12.524,30.03,109.06,0.00012933,0.2,1
13.516,30.021,109.04,0.00012918,0.2,1
14.505,30.024,109.04,0.00012926,0.2,1
15.503,30.023,109.04,0.00012898,0.2,1
16.498,30.008,109.01,0.00012833,0.2,1
17.494,30.014,109.02,0.00012828,0.2,1
18.489,30.019,109.03,0.00012814,0.2,1
19.474,30.009,109.01,0.00012787,0.2,1
20.472,30.008,109.01,0.00012757,0.2,1
21.458,29.998,108.98,0.00012741,0.2,1
22.454,30.002,108.99,0.0001273,0.2,1
23.411,30.002,108.99,0.00012686,0.2,1
24.375,29.997,108.98,0.00012656,0.2,1
25.338,29.99,108.96,0.00012677,0.2,1
26.32,29.99,108.96,0.00012642,0.2,1
27.288,29.998,108.98,0.00012654,0.2,1
28.279,29.984,108.95,0.00012595,0.2,1
29.264,29.994,108.97,0.00012613,0.2,1
30.262,29.993,108.97,0.00012556,0.2,1
31.249,29.987,108.96,0.00012533,0.2,1
32.248,29.985,108.95,0.00012543,0.2,1
33.236,29.973,108.92,0.00012522,0.2,1
34.237,29.976,108.93,0.00012496,0.2,1
35.226,29.979,108.94,0.0001246,0.2,1
36.215,29.966,108.91,0.00012453,0.2,1
37.229,29.972,108.92,0.00012449,0.2,1
38.201,29.974,108.93,0.00012426,0.2,1
39.202,29.972,108.92,0.00012387,0.2,1
40.195,29.959,108.89,0.00012368,0.2,1
41.19,29.96,108.9,0.00012342,0.2,1
42.169,29.958,108.89,0.00012338,0.2,1
43.164,29.963,108.9,0.00012321,0.2,1
44.159,29.962,108.9,0.00012316,0.2,1
45.151,29.95,108.87,0.00012326,0.2,1
46.14,29.958,108.89,0.00012271,0.2,1
47.114,29.95,108.87,0.00012242,0.2,1
48.065,29.949,108.87,0.00012273,0.2,1
49.027,29.947,108.86,0.00012206,0.2,1
49.99,29.944,108.86,0.00012196,0.2,1
50.97,29.943,108.85,0.00012168,0.2,1
51.929,29.941,108.85,0.00012172,0.2,1
52.928,29.939,108.85,0.00012128,0.2,1
53.924,29.938,108.84,0.00012125,0.2,1
54.919,29.94,108.85,0.00012116,0.2,1
55.9,29.939,108.85,0.00012104,0.2,1
56.903,29.934,108.83,0.00012084,0.2,1
57.898,29.935,108.84,0.00012042,0.2,1
58.894,29.935,108.84,0.0001202,0.2,1
59.842,29.927,108.82,0.00012019,0.2,1
60.807,29.924,108.81,0.00012014,0.2,1
61.785,29.922,108.81,0.00011967,0.2,1
62.759,29.928,108.82,0.0001198,0.2,1
63.717,29.923,108.81,0.00011956,0.2,1
64.711,29.924,108.81,0.00011948,0.2,1
65.696,29.92,108.8,0.00011912,0.2,1
66.656,29.919,108.8,0.00011912,0.2,1
67.657,29.917,108.79,0.0001189,0.2,1
68.645,29.91,108.78,0.00011887,0.2,1
69.634,29.915,108.79,0.00011867,0.2,1
70.619,29.907,108.77,0.00011851,0.2,1
71.617,29.913,108.78,0.00011832,0.2,1
74.627,29.893,108.74,0.00011779,0.2,1
75.597,29.905,108.77,0.00011764,0.2,1
76.556,29.904,108.76,0.00011758,0.2,1
77.53,29.903,108.76,0.00011775,0.2,1
78.506,29.893,108.74,0.00011714,0.2,1
79.505,29.89,108.73,0.00011717,0.2,1
80.505,29.89,108.73,0.0001169,0.2,1
81.498,29.898,108.75,0.00011706,0.2,1
82.474,29.896,108.75,0.00011676,0.2,1
83.436,29.893,108.74,0.00011688,0.2,1
84.4,29.886,108.72,0.00011647,0.2,1
85.362,29.885,108.72,0.00011649,0.2,1
86.328,29.876,108.7,0.00011615,0.2,1
87.31,29.888,108.73,0.00011583,0.2,1
88.305,29.871,108.69,0.00011581,0.2,1
89.302,29.877,108.7,0.00011571,0.2,1
90.295,29.884,108.72,0.00011585,0.2,1
91.286,29.876,108.7,0.0001156,0.2,1
92.283,29.866,108.68,0.00011542,0.2,1
93.271,29.878,108.7,0.00011545,0.2,1
94.256,29.871,108.69,0.00011524,0.2,1
95.254,29.87,108.68,0.00011492,0.2,1
96.249,29.873,108.69,0.000115,0.2,1
97.244,29.872,108.69,0.00011472,0.2,1
98.239,29.862,108.67,0.00011448,0.2,1
99.234,29.862,108.67,0.00011434,0.2,1
100.22,29.861,108.66,0.00011444,0.2,1
101.22,29.859,108.66,0.00011428,0.2,1
102.2,29.865,108.67,0.00011411,0.2,1
103.2,29.863,108.67,0.00011408,0.2,1
104.18,29.853,108.64,0.00011373,0.2,1
105.12,29.862,108.67,0.00011394,0.2,1
106.08,29.846,108.63,0.00011385,0.2,1
107.04,29.847,108.63,0.00011351,0.2,1
108.03,29.856,108.65,0.00011377,0.2,1
109.01,29.856,108.65,0.00011343,0.2,1
109.98,29.849,108.64,0.00011342,0.2,1
110.98,29.845,108.63,0.00011297,0.2,1
111.97,29.851,108.64,0.00011288,0.2,1
112.95,29.849,108.64,0.00011283,0.2,1
113.94,29.833,108.6,0.00011284,0.2,1
114.94,29.841,108.62,0.00011299,0.2,1
115.93,29.846,108.63,0.00011251,0.2,1
116.93,29.835,108.6,0.00011249,0.2,1
117.94,29.837,108.61,0.00011243,0.2,1
118.92,29.839,108.61,0.00011219,0.2,1
119.91,29.841,108.62,0.00011242,0.2,1
120.91,29.834,108.6,0.00011195,0.2,1
121.91,29.832,108.6,0.00011183,0.2,1
122.89,29.822,108.57,0.00011206,0.2,1
123.88,29.837,108.61,0.00011183,0.2,1
124.87,29.825,108.58,0.00011195,0.2,1
125.87,29.827,108.59,0.00011162,0.2,1
126.85,29.826,108.58,0.00011144,0.2,1
127.85,29.825,108.58,0.00011122,0.2,1
128.86,29.817,108.56,0.00011109,0.2,1
129.81,29.823,108.57,0.00011113,0.2,1
130.76,29.826,108.58,0.00011123,0.2,1
131.71,29.82,108.57,0.00011092,0.2,1
132.67,29.821,108.57,0.00011049,0.2,1
133.65,29.824,108.58,0.00011073,0.2,1
134.6,29.816,108.56,0.00011079,0.2,1
135.56,29.81,108.55,0.00011077,0.2,1
136.51,29.819,108.57,0.00011064,0.2,1
137.48,29.813,108.55,0.00011063,0.2,1
138.47,29.819,108.57,0.00011018,0.2,1
139.46,29.811,108.55,0.00011051,0.2,1
140.46,29.812,108.55,0.00011028,0.2,1
141.44,29.81,108.54,0.00011008,0.2,1
142.4,29.808,108.54,0.00011018,0.2,1
143.37,29.813,108.55,0.00010996,0.2,1
144.32,29.807,108.54,0.00010982,0.2,1
145.28,29.804,108.53,0.0001095,0.2,1
146.23,29.811,108.55,0.00010991,0.2,1
147.19,29.809,108.54,0.00010967,0.2,1
148.19,29.8,108.52,0.00010944,0.2,1
149.18,29.809,108.54,0.00010962,0.2,1
150.18,29.806,108.54,0.00010939,0.2,1
151.17,29.804,108.53,0.00010943,0.2,1
152.16,29.804,108.53,0.00010914,0.2,1
153.16,29.804,108.53,0.00010933,0.2,1
154.11,29.795,108.51,0.00010896,0.2,1
155.07,29.791,108.5,0.00010928,0.2,1
156.03,29.787,108.49,0.00010911,0.2,1
157,29.802,108.53,0.00010885,0.2,1
157.98,29.798,108.52,0.00010886,0.2,1
158.98,29.784,108.49,0.00010883,0.2,1
159.97,29.789,108.5,0.00010843,0.2,1
160.96,29.794,108.51,0.00010859,0.2,1
161.95,29.786,108.49,0.00010856,0.2,1
162.94,29.792,108.5,0.00010833,0.2,1
163.91,29.78,108.48,0.0001085,0.2,1
164.9,29.791,108.5,0.0001082,0.2,1
165.89,29.788,108.5,0.00010824,0.2,1
166.91,29.785,108.49,0.00010823,0.2,1
167.87,29.782,108.48,0.00010787,0.2,1
168.87,29.786,108.49,0.00010789,0.2,1
169.87,29.78,108.47,0.00010793,0.2,1
