Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.56,25.471,98.338,2.4494e-05,0.01,0
1.585,25.466,98.328,2.6599e-05,0.01,0.0005
2.574,25.474,98.345,2.6974e-05,0.01,0.001
3.545,25.468,98.333,2.6651e-05,0.01,0.0015
4.521,25.467,98.33,2.663e-05,0.01,0.002
5.484,25.467,98.329,2.6808e-05,0.01,0.0025
6.46,25.471,98.338,2.6808e-05,0.01,0.003
7.418,25.474,98.346,2.7141e-05,0.01,0.0035
8.372,25.474,98.344,2.6787e-05,0.01,0.004
9.347,25.458,98.308,2.6505e-05,0.01,0.0045
10.306,25.461,98.314,2.6484e-05,0.01,0.005
11.256,25.476,98.351,2.6922e-05,0.01,0.0055
12.254,25.476,98.351,2.6193e-05,0.01,0.006
13.23,25.476,98.349,2.6672e-05,0.01,0.0065
14.173,25.476,98.35,2.6537e-05,0.01,0.007
15.133,25.477,98.351,2.6557e-05,0.01,0.0075
16.114,25.475,98.347,2.6203e-05,0.01,0.008
17.067,25.475,98.348,2.6443e-05,0.01,0.0085
18.018,25.469,98.333,2.6557e-05,0.01,0.009
18.969,25.474,98.346,2.6568e-05,0.01,0.0095
19.923,25.464,98.322,2.6422e-05,0.01,0.01
20.873,25.477,98.351,2.6328e-05,0.01,0.0105
21.825,25.476,98.351,2.6213e-05,0.01,0.011
22.775,25.47,98.337,2.637e-05,0.01,0.0115
23.755,25.472,98.34,2.6015e-05,0.01,0.012
24.714,25.474,98.345,2.5984e-05,0.01,0.0125
25.676,25.471,98.339,2.6224e-05,0.01,0.013
26.628,25.477,98.351,2.6297e-05,0.01,0.0135
27.595,25.471,98.338,2.6026e-05,0.01,0.014
28.543,25.469,98.335,2.5984e-05,0.01,0.0145
29.492,25.478,98.355,2.5974e-05,0.01,0.015
30.441,25.465,98.323,2.5859e-05,0.01,0.0155
31.423,25.468,98.331,2.5974e-05,0.01,0.016
32.369,25.478,98.355,2.6078e-05,0.01,0.0165
33.349,25.477,98.352,2.6057e-05,0.01,0.017
34.298,25.47,98.337,2.5901e-05,0.01,0.0175
35.277,25.471,98.337,2.5984e-05,0.01,0.018
36.226,25.478,98.356,2.5797e-05,0.01,0.0185
37.204,25.48,98.358,2.5682e-05,0.01,0.019
38.136,25.472,98.341,2.5692e-05,0.01,0.0195
39.089,25.482,98.363,2.5724e-05,0.01,0.02
40.037,25.469,98.333,2.5734e-05,0.01,0.0205
41.017,25.468,98.332,2.5432e-05,0.01,0.021
41.952,25.473,98.343,2.5817e-05,0.01,0.0215
42.903,25.478,98.355,2.6036e-05,0.01,0.022
43.854,25.472,98.341,2.5442e-05,0.01,0.0225
44.838,25.471,98.339,2.5161e-05,0.01,0.023
45.772,25.473,98.344,2.5598e-05,0.01,0.0235
46.724,25.481,98.361,2.5338e-05,0.01,0.024
47.676,25.467,98.329,2.5327e-05,0.01,0.0245
48.641,25.48,98.36,2.5327e-05,0.01,0.025
49.593,25.469,98.334,2.5275e-05,0.01,0.0255
50.575,25.469,98.334,2.5015e-05,0.01,0.026
51.513,25.466,98.328,2.5223e-05,0.01,0.0265
52.464,25.481,98.362,2.5161e-05,0.01,0.027
53.412,25.469,98.334,2.5129e-05,0.01,0.0275
54.392,25.472,98.341,2.5046e-05,0.01,0.028
55.34,25.482,98.363,2.5161e-05,0.01,0.0285
56.319,25.483,98.367,2.5004e-05,0.01,0.029
57.267,25.477,98.352,2.4848e-05,0.01,0.0295
58.247,25.477,98.352,2.5046e-05,0.01,0.03
59.196,25.482,98.364,2.514e-05,0.01,0.0305
60.153,25.469,98.334,2.5004e-05,0.01,0.031
61.125,25.483,98.366,2.4931e-05,0.01,0.0315
62.071,25.475,98.347,2.4796e-05,0.01,0.032
63.02,25.482,98.364,2.4838e-05,0.01,0.0325
63.966,25.479,98.356,2.4765e-05,0.01,0.033
64.955,25.481,98.361,2.4775e-05,0.01,0.0335
65.897,25.484,98.369,2.4765e-05,0.01,0.034
66.877,25.484,98.368,2.4765e-05,0.01,0.0345
67.822,25.484,98.368,2.4806e-05,0.01,0.035
68.812,25.476,98.351,2.4848e-05,0.01,0.0355
69.791,25.479,98.356,2.4681e-05,0.01,0.036
70.732,25.472,98.34,2.4556e-05,0.01,0.0365
71.687,25.481,98.361,2.465e-05,0.01,0.037
72.624,25.486,98.373,2.4504e-05,0.01,0.0375
73.583,25.487,98.375,2.4494e-05,0.01,0.038
74.528,25.48,98.358,2.4473e-05,0.01,0.0385
75.513,25.472,98.341,2.4494e-05,0.01,0.039
76.467,25.481,98.362,2.4431e-05,0.01,0.0395
77.443,25.488,98.377,2.441e-05,0.01,0.04
78.382,25.488,98.377,2.4462e-05,0.01,0.0405
79.339,25.485,98.371,2.4514e-05,0.01,0.041
80.319,25.487,98.377,2.4681e-05,0.01,0.0415
81.266,25.481,98.361,2.4327e-05,0.01,0.042
82.248,25.473,98.344,2.4233e-05,0.01,0.0425
83.2,25.484,98.369,2.44e-05,0.01,0.043
84.183,25.483,98.367,2.4306e-05,0.01,0.0435
85.128,25.479,98.357,2.4306e-05,0.01,0.044
86.115,25.49,98.382,2.3993e-05,0.01,0.0445
87.097,25.487,98.376,2.4389e-05,0.01,0.045
88.042,25.484,98.368,2.4212e-05,0.01,0.0455
89.015,25.492,98.388,2.415e-05,0.01,0.046
89.972,25.491,98.385,2.4056e-05,0.01,0.0465
90.949,25.489,98.381,2.4056e-05,0.01,0.047
91.891,25.49,98.383,2.3952e-05,0.01,0.0475
92.875,25.488,98.378,2.3837e-05,0.01,0.048
93.833,25.491,98.384,2.3962e-05,0.01,0.0485
94.802,25.476,98.351,2.3743e-05,0.01,0.049
95.756,25.485,98.37,2.366e-05,0.01,0.0495
96.71,25.492,98.387,2.3733e-05,0.01,0.05
97.68,25.477,98.352,2.3816e-05,0.01,0.0505
98.631,25.489,98.38,2.3556e-05,0.01,0.051
99.616,25.484,98.368,2.3472e-05,0.01,0.0515
100.56,25.48,98.36,2.3639e-05,0.01,0.052
101.54,25.495,98.394,2.3576e-05,0.01,0.0525
102.49,25.49,98.383,2.3681e-05,0.01,0.053
103.48,25.496,98.396,2.3556e-05,0.01,0.0535
104.45,25.489,98.381,2.342e-05,0.01,0.054
105.41,25.491,98.384,2.3587e-05,0.01,0.0545
