Time(sec),TempRes(Ohm),Temperature(K),SampVolt(V),SampCurr(A),CoilCurr(A)
0.281,25.591,98.618,5.5793e-05,0.4,0
1.437,25.593,98.622,5.6012e-05,0.4,0.05
2.24,25.594,98.624,5.6075e-05,0.4,0.1
3.054,25.591,98.617,5.5793e-05,0.4,0.15
3.858,25.593,98.623,5.5814e-05,0.4,0.2
4.678,25.594,98.623,5.57e-05,0.4,0.25
5.506,25.586,98.606,5.5595e-05,0.4,0.3
6.317,25.592,98.619,5.5814e-05,0.4,0.35
7.129,25.584,98.601,5.5877e-05,0.4,0.4
7.927,25.586,98.607,5.5783e-05,0.4,0.45
8.747,25.586,98.605,5.6075e-05,0.4,0.5
9.583,25.591,98.618,5.5814e-05,0.4,0.55
10.433,25.589,98.613,5.5647e-05,0.4,0.6
11.422,25.593,98.621,5.5752e-05,0.4,0.65
12.249,25.582,98.596,5.5689e-05,0.4,0.7
13.048,25.581,98.595,5.6085e-05,0.4,0.75
13.862,25.588,98.61,5.5731e-05,0.4,0.8
14.673,25.586,98.607,5.5658e-05,0.4,0.85
15.476,25.589,98.613,5.571e-05,0.4,0.9
16.273,25.587,98.608,5.5835e-05,0.4,0.95
17.086,25.581,98.594,5.596e-05,0.4,1
17.881,25.586,98.605,5.5783e-05,0.4,1.05
18.665,25.58,98.592,5.5616e-05,0.4,1.1
19.493,25.589,98.612,5.5856e-05,0.4,1.15
20.289,25.57,98.569,5.5575e-05,0.4,1.2
21.073,25.587,98.608,5.5741e-05,0.4,1.25
21.894,25.588,98.609,5.6158e-05,0.4,1.3
22.695,25.587,98.609,5.5679e-05,0.4,1.35
23.477,25.586,98.607,5.5939e-05,0.4,1.4
24.307,25.576,98.582,5.5835e-05,0.4,1.45
25.119,25.586,98.606,5.5939e-05,0.4,1.5
25.944,25.58,98.591,5.5752e-05,0.4,1.55
26.74,25.582,98.596,5.5814e-05,0.4,1.6
27.522,25.579,98.589,5.5918e-05,0.4,1.65
28.35,25.585,98.604,5.5783e-05,0.4,1.7
29.178,25.585,98.603,5.6064e-05,0.4,1.75
29.956,25.584,98.6,5.5877e-05,0.4,1.8
30.781,25.577,98.585,5.6231e-05,0.4,1.85
31.568,25.576,98.582,5.6158e-05,0.4,1.9
32.364,25.578,98.586,5.6346e-05,0.4,1.95
33.19,25.584,98.601,5.6231e-05,0.4,2
33.971,25.583,98.599,5.6179e-05,0.4,2.05
34.798,25.581,98.594,5.6429e-05,0.4,2.1
35.617,25.584,98.601,5.6419e-05,0.4,2.15
36.418,25.58,98.593,5.6867e-05,0.4,2.2
37.23,25.582,98.597,5.7211e-05,0.4,2.25
38.027,25.569,98.566,5.6867e-05,0.4,2.3
38.807,25.568,98.564,5.6971e-05,0.4,2.35
39.633,25.584,98.6,5.7357e-05,0.4,2.4
40.427,25.576,98.582,5.7367e-05,0.4,2.45
41.222,25.574,98.579,5.7524e-05,0.4,2.5
42.036,25.578,98.588,5.7388e-05,0.4,2.55
42.83,25.565,98.556,5.7628e-05,0.4,2.6
43.655,25.581,98.594,5.8295e-05,0.4,2.65
44.48,25.579,98.591,5.8159e-05,0.4,2.7
45.259,25.577,98.585,5.8399e-05,0.4,2.75
46.088,25.572,98.574,5.8628e-05,0.4,2.8
46.87,25.572,98.573,5.8712e-05,0.4,2.85
47.666,25.572,98.573,5.9306e-05,0.4,2.9
48.488,25.572,98.573,5.9452e-05,0.4,2.95
49.275,25.571,98.571,5.9775e-05,0.4,3
50.105,25.581,98.593,5.9764e-05,0.4,3.05
50.921,25.577,98.584,5.9983e-05,0.4,3.1
51.709,25.572,98.574,6.0619e-05,0.4,3.15
52.541,25.577,98.586,6.0421e-05,0.4,3.2
53.356,25.565,98.557,6.1067e-05,0.4,3.25
54.181,25.58,98.591,6.1224e-05,0.4,3.3
55.008,25.579,98.591,6.162e-05,0.4,3.35
55.79,25.573,98.576,6.2016e-05,0.4,3.4
56.614,25.57,98.568,6.2214e-05,0.4,3.45
57.411,25.57,98.568,6.2568e-05,0.4,3.5
58.197,25.563,98.553,6.2871e-05,0.4,3.55
59.014,25.57,98.569,6.3267e-05,0.4,3.6
59.81,25.577,98.586,6.3496e-05,0.4,3.65
60.622,25.576,98.583,6.3965e-05,0.4,3.7
61.423,25.575,98.579,6.4194e-05,0.4,3.75
62.203,25.577,98.584,6.4455e-05,0.4,3.8
63.03,25.575,98.58,6.4778e-05,0.4,3.85
63.823,25.574,98.578,6.5289e-05,0.4,3.9
64.609,25.575,98.581,6.5351e-05,0.4,3.95
65.442,25.572,98.573,6.5893e-05,0.4,4
66.259,25.56,98.546,6.6268e-05,0.4,4.05
67.071,25.57,98.569,6.655e-05,0.4,4.1
67.868,25.572,98.574,6.6831e-05,0.4,4.15
68.663,25.574,98.577,6.7394e-05,0.4,4.2
69.482,25.572,98.572,6.7644e-05,0.4,4.25
70.307,25.57,98.569,6.8144e-05,0.4,4.3
71.129,25.575,98.58,6.8551e-05,0.4,4.35
71.941,25.57,98.568,6.8937e-05,0.4,4.4
72.737,25.565,98.558,6.9677e-05,0.4,4.45
73.555,25.565,98.557,6.9541e-05,0.4,4.5
74.349,25.571,98.571,6.9989e-05,0.4,4.55
75.136,25.564,98.556,7.0521e-05,0.4,4.6
75.963,25.572,98.573,7.0646e-05,0.4,4.65
76.748,25.571,98.57,7.1428e-05,0.4,4.7
77.576,25.561,98.548,7.1636e-05,0.4,4.75
78.387,25.572,98.572,7.1845e-05,0.4,4.8
79.211,25.563,98.552,7.2553e-05,0.4,4.85
80.037,25.56,98.545,7.2741e-05,0.4,4.9
80.822,25.569,98.567,7.3147e-05,0.4,4.95
81.649,25.564,98.554,7.3981e-05,0.4,5
82.46,25.569,98.567,7.3867e-05,0.4,5.05
83.292,25.565,98.556,7.4138e-05,0.4,5.1
84.103,25.572,98.573,7.5024e-05,0.4,5.15
84.905,25.57,98.568,7.5367e-05,0.4,5.2
85.73,25.564,98.554,7.5503e-05,0.4,5.25
86.544,25.569,98.566,7.6347e-05,0.4,5.3
87.327,25.56,98.545,7.6514e-05,0.4,5.35
88.157,25.567,98.562,7.7098e-05,0.4,5.4
